,input,acp,output,origin
286,Owners can read Name.,1,{decision: allow; subject: owner; action: read; resource: name; purpose: none; condition: none},collected
287,The Artefact Framework  uses html frames like Cyber-Chair.,0,{decision: allow; subject: none; action: use; resource: html frames; condition: none; purpose: none | decision: allow; subject: none; action: use; resource: cyber-chair; condition: none; purpose: none},na
288,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,1,{decision: allow; subject: professor; action: select; resource: course offering; purpose: none; condition: none | decision: allow; subject: professor; action: de-select; resource: course offering; purpose: none; condition: none},ibm
289,The figures had to be covered with an off - white slip to approximate the color of skin .,0,{decision: allow; subject: none; action: cover; resource: figures; condition: none; purpose: to approximate the color of skin},na
290,The administrator is not allowed to delete an existing entry.,1,{decision: deny; subject: administrator; action: delete; resource: entry; purpose: none; condition: none},t2p
291,An LHCP selects to view additional information for a patient.,1,{decision: allow; subject: lhcp; action: view; resource: information; purpose: none; condition: none},acre
292,"The conflict detection and coloring scheme used to indicate the state of reviews has, as far as we know, not been used in other systems that handle review processes.",0,{decision: allow; subject: none; action: use; resource: conflict detection and coloring scheme; condition: as far as we know; purpose: none},na
293,"The patient or personal representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",1,{decision: allow; subject: patient; action: see; resource: health history of their siblings; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of their parents; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of their siblings; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of their parents; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of both sets of grandparents; purpose: none; condition: none},t2p
294,"The patient is sent a ""fake email"" that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.",1,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},acre
295,"The HCP must enter this message to the person concerned, but is restricted to enter or edit this information.",1,{decision: allow; subject: hcp; action: enter; resource: message; purpose: none; condition: none | decision: deny; subject: hcp; action: enter; resource: information; purpose: none; condition: none | decision: deny; subject: hcp; action: edit; resource: information; purpose: none; condition: none},collected_train
296,"HCPs can modify or delete the fields of the office visit information (date, hospital, notes, prescriptions, laboratory procedures, diagnoses, procedures, possibly and possibly immunizations).",1,{decision: allow; subject: hcp; action: modify; resource: fields of the office visit information; purpose: none; condition: none | decision: allow; subject: hcp; action: delete; resource: fields of the office visit information; purpose: none; condition: none},t2p
297,The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,1,{decision: allow; subject: none; action: authenticate; resource: itrust user; condition: none; purpose: none},acre
298,The representative types the subject and the text of a message.,1,{decision: allow; subject: representative; action: type; resource: subject; purpose: none; condition: none | decision: allow; subject: representative; action: type; resource: text of a message; purpose: none; condition: none},t2p
299,"To transport the gene , Louisiane University researchers devised an HIV virus stripped of its infecting machinery .",0,{decision: allow; subject: louisiane university researchers; action: devise; resource: hiv virus; condition: none; purpose: to transport the gene},na
300,"All users are given read or write access to objects only of the same classification (a ""secret"" user can only read or write to a secret document).",1,{decision: allow; subject: user; action: read; resource: object; purpose: none; condition: none | decision: allow; subject: user; action: write; resource: objects; purpose: none; condition: none | decision: allow; subject: secret user; action: read; resource: secret document; purpose: none; condition: none | decision: allow; subject: secret user; action: write; resource: secret document; purpose: none; condition: none},collected
301,The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,1,{decision: allow; subject: maintainer; action: generate; resource: page; purpose: none; condition: paper distribution has been done},cyber
302,Like Java it runs on a virtual machine and is available for many platforms.,0,{decision: allow; subject: none; action: run; resource: virtual machine; condition: like java; purpose: none},na
303,Authors may never read scores.,1,{decision: deny; subject: author; action: read; resource: score; purpose: none; condition: none},collected
304,Students cannot remain in degree offerings after eligibility for this current semester has been closed.,1,"{decision: deny; subject: students; action: remain; resource: degree offerings; purpose: none; condition: after eligibility for this current semester has been closed""}",collected_train
305,A U.S. tank shelled the hotel in response to sniper fire .,0,{decision: allow; subject: ua; action: shelled; resource: hotel; condition: none; purpose: in response to sniper fire},na
306,"156 Iraqi police officers were supposed to show up to this college to report for work , but instead , 2,000 showed up because they heard about it on the radio , so the whole college was swarmed with police officers wanting their jobs back , and this gentleman was kind of in charge of the whole operation and one man has his arms up yelling at him .",0,{decision: allow; subject: none; action: show; resource: professors; condition: none; purpose: to report for work},na
307,3.2.13 UC13 Declare or undeclare Personal Representative Use Case.,0,{decision: allow; subject: none; action: declare; resource: personal representative use case; condition: none; purpose: none},na
308,"To ask the Soviet Union to declare war against Japan , the US and Britain gave Russia the Chishima Islands and the southern part of Sakhalin Island , which Japan occupied at the time .",0,{decision: allow; subject: the us; action: give; resource: the chishima islands; condition: none; purpose: ask the soviet union to declare war against japan | decision: allow; subject: the britain; action: give; resource: the chishima islands; condition: none; purpose: ask the soviet union to declare war against japan | decision: allow; subject: the us; action: give; resource: southern part of sakhalin island; condition: none; purpose: ask the soviet union to declare war against japan | decision: allow; subject: the britain; action: give; resource: southern part of sakhalin island; condition: none; purpose: ask the soviet union to declare war against japan},na
309,"Their mission is very broad , Judy to deploy anywhere in the world in support of national strategy .",0,{decision: allow; subject: none; action: deploy; resource: national strategy; condition: none; purpose: in support of national strategy},na
311,The reviewer of a paper can assign the paper to be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer.,1,{decision: allow; subject: reviewer; action: assign; resource: paper; purpose: be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer; condition: none},collected
312,"In the list of in transit lab procedures , the Lab Technician can update the status to received when the sample has been received in his or her lab.",1,{decision: allow; subject: lab technician; action: update; resource: status; purpose: none; condition: in the list of in transit lab procedures},acre
313,The software source code can only be accessed by approved developers for maintenance purposes.,1,{decision: allow; subject: approved developers; action: access; resource: software source code; condition: none; purpose: maintenance purposes},collected_train
314,"Users can view an Owner's account, but not make changes",1,{decision: allow; subject: user; action: view; resource: owner account; purpose: none; condition: none | decision: deny; subject: user; action: change; resource: owner account; purpose: none; condition: none},collected
315,"For the patient, the HCP can choose height or weight to graph.",1,{decision: allow; subject: hcp; action: choose; resource: height; purpose: graph; condition: none | decision: allow; subject: hcp; action: choose; resource: weight; purpose: graph; condition: none},t2p
316,Anything that is a valid field in data format 6.4 should be accepted as a column.,0,{decision: allow; subject: none; action: accept; resource: anything that is a valid field in data format 64; condition: none; purpose: none},na
317,The HCP may not have all the options to access the current security issue and password of the victims.,1,{decision: deny; subject: hcp; action: access; resource: current security issue; purpose: none; condition: none | decision: deny; subject: hcp; action: access; resource: password of the victims; purpose: none; condition: none},collected_train
318,The receiving HCP chosen is not the desired HCP.,0,{decision: allow; subject: receiving hcp; action: choose; resource: desired hcp; condition: none; purpose: none},na
319,"Yesterday , the American ambassador and a senior FBI official met with President Ally Saleh to complain that Yemeni investigators were not sharing leads or information .",0,{decision: allow; subject: senior fbi official; action: meet; resource: president ally saleh; condition: none; purpose: complain that yemeni investigators were not sharing leads or information | decision: allow; subject: american ambassador; action: meet; resource: president ally saleh; condition: none; purpose: complain that yemeni investigators were not sharing leads or information},na
320,"The patient may type a last name or partial last name, and optionally reduces the list of choices by providing the specialty.",1,{decision: allow; subject: patient; action: type; resource: last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: partial last name; purpose: none; condition: none | decision: allow; subject: patient; action: reduce; resource: list of choices; purpose: none; condition: none},t2p
321,The LHCP opens the message to which he or she wishes to reply.,1,{decision: allow; subject: lhcp; action: open; resource: message; purpose: reply; condition: none},t2p
322,The administrator is generally not permitted to delete unauthorized entries.,1,{decision: deny; subject: administrator; action: delete; resource: unauthorized entries; purpose: none; condition: none},collected_train
323,Reviewers may bid in several stages.,0,{decision: allow; subject: reviewers; action: bid; resource: none; purpose: none; condition: none},na
324,The row for each conflicting appointment is highlighted in bold.,0,{decision: allow; subject: none; action: highlight; resource: row for each conflicting appointment; condition: none; purpose: none},na
325,The administrator can select a particular pair of drugs and delete the interaction between the two drugs.,1,{decision: allow; subject: administrator; action: select; resource: drug; purpose: none; condition: none | decision: allow; subject: administrator; action: delete; resource: interaction; purpose: none; condition: none},acre
326,A patient or personal health representative  views his or her iTrust homepage.,1,{decision: allow; subject: patient; action: view; resource: itrust homepage; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: itrust homepage; purpose: none; condition: none},acre
327,A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,1,{decision: allow; subject: public health agent; action: select; resource: time period; purpose: see a detailed listing of all adverse events related to prescription drugs or immunizations; condition: none},t2p
328,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,1,{decision: allow; subject: user; action: modify; resource: filter; purpose: none; condition: none},acre
329,"While expressing dissatisfaction at his avoidance of the "" one China "" issue , they also stated that it might be possible to re-start cross-strait negotiations if Taiwan were willing to return to the one China formula adopted during talks in 1992 , when it was agreed that each side could maintain its own interpretation of what "" one China "" means .",0,"{decision: allow; subject: none; action: re-start; resource: cross-strait negotiations; condition: if taiwan were willing to return to the one china formula adopted during talks in 1992 when it was agreed that each side could maintain its own interpretation of what "" one china "" means; purpose: none}",na
330,Another physician then should not read the resident\'s doctor medical records to protect confidentiality ( then continues to obtain private notes regarding the resident ’ s resident doctor ).,1,{decision: deny; subject: another physician; action: read; resource: residents doctor medical records; purpose: protect confidentiality; condition: none | decision: deny; subject: another physician; action: obtain; resource: private notes; purpose: protect confidentiality; condition: none},collected_train
331,The iTrust user has authenticated himself or herself in the iTrust Medical Records system(UC3).,1,{decision: allow; subject: itrust user; action: authenticate; resource: itrust user; condition: none; purpose: none},acre
332,"If the administrator is responsible, he may not change the reason ID number to open an account.",1,{decision: deny; subject: administrator; action: change; resource: reason id number; purpose: open an account; condition: administrator is responsible},collected_train
333,"All data is assigned security level that reflects its relative sensitivity, confidentiality, and protection value.",0,{decision: allow; subject: none; action: assign; resource: security level; condition: none; purpose: none},na
334,"For the diagnostic information that a hospital can restrict, he or she may not try to activate several licensed health professionals and then possibly other licensed public service personnel, possibly and possibly not.",1,{decision: deny; subject: he; action: activate; resource: licensed health professionals; purpose: diagnostic information; condition: none | decision: deny; subject: he; action: request; resource: licensed public service personels; purpose: diagnostic information; condition: none | decision: deny; subject: she; action: activate; resource: licensed health professionals; purpose: diagnostic information; condition: none | decision: deny; subject: she; action: request; resource: licensed public service personels; purpose: diagnostic information; condition: none},collected_train
335,"The iTrust user (Lab Technician, patient, or HCP) has been authenticated in the iTrust Medical Records system (UC3).",1,{decision: allow; subject: none; action: authenticate; resource: lab technician; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: patient; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: hcp; condition: none; purpose: none},acre
337,Tuesday President Bush is set to deliver a prime time televised address to the nation to try to explain US policy in Iraq /.,0,{decision: allow; subject: president; action: deliver; resource: prime time televised address; condition: none; purpose: to try to explain us policy in iraq},na
338,The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,1,{decision: allow; subject: none; action: authenticate; resource: patient; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: hcp; condition: none; purpose: none},acre
339,"Based on a survey conducted by AC Nielsen , only about 3 % of individuals buy newspapers to read the classified ads .",0,{decision: allow; subject: none; action: buy; resource: newspapers; condition: based on a survey conducted by ac nielsen; purpose: to read the classified ads},na
340,"Israelis and Palestinians still having the series of running battles to confirm each other 's worst , even stereotype view of the other .",0,"{decision: allow; subject: palestinians; action: have; resource: series of running battles; condition: none; purpose: ""confirm each others worst; even stereotype view of the other"" | decision: allow; subject: israelis; action: have; resource: series of running battles; condition: none; purpose: ""confirm each others worst even stereotype view of the other""}",na
341,The administrator will maintain a listing of allowable diagnoses that an LHCP can use.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable diagnoses; purpose: none; condition: none},acre
342,"To change patients dispositions, pharmacy systems should never update medical records.",1,"{decision: deny; subject: pharmacy systems; action: update; resource: medical record; purpose: change patients ""dispositions; condition: none}",collected_train
343,the office visit date should link to the patient's view of the office visit (UC9).,0,"{decision: allow; subject: office visit date; action: link; resource: ""patients view of the office visit""; condition: none; purpose: none}",na
344,"at 'No', because each 'reviewer' has been assigned a bogus email address, which will bounce.",0,{decision: allow; subject: none; action: assign; resource: bogus email; condition: none; purpose: none},na
345,Currently available risk factors for chronic diseases are defined for Diabetes and Type 1 and Type2 and Heart Disease.,0,{decision: allow; subject: none; action: define; resource: risk factors for chronic diseases; condition: none; purpose: none},na
346," If it loads drugs into the dispenser, however, it should not perform these operation.",1,{decision: deny; subject: it; action: perform; resource: operations; condition: it loads drugs into the dispenser; purpose: none},collected_train
347,The user opens his upcoming appointment list.,1,{decision: allow; subject: user; action: open; resource: upcoming appointment list; purpose: none; condition: none},t2p
348,Employees are required to complete the safety training course before accessing the construction site.,1,{decision: allow; subject: employee; action: complete; resource: safety training course; condition: before accessing the construction site.; purpose: none},collected_train
349,"The department is working with states to help teachers meet new definitions of teacher quality , so that every classroom will have a well - trained highly effective teacher like you all .",0,{decision: allow; subject: department; action: work with; resource: states; condition: none; purpose: so that every classroom will have a well - trained highly effective teacher like you all},na
350,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his or her appointments in the current month displayed on a calendar for the current month .",1,"{decision: allow; subject: lhcp; action: click; resource: view appointment calendar link; purpose: view his or her appointments in the current month; condition: none | decision: allow; subject: patient; action: click; resource: “view appointment calendar"" link; purpose: view his or her appointments in the current month; condition: none}",acre
351,"The HCP confirms the reassignment, or cancels the reassignment .",1,{decision: allow; subject: hcp; action: confirm; resource: reassignment; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: reassignment; purpose: none; condition: none},acre
352,Management can report customer transactions if required by law.,1,{decision: allow; subject: management; action: report; resource: customer transaction; purpose: none; condition: none},collected
353,and sixty percent say that we should n't even give them guest worker status to come here temporarily /.,0,{decision: deny; subject: we; action: give; resource: guest worker status; condition: even; purpose: to come here temporarily},na
354,"For the diagnostic licensing system that a patient must restrict, you, also known as them, cannot decide to request licensed physicians in public health, possibly and any other licensed medical professionals, possibly and perhaps no one.",1,{decision: deny; subject: patient; action: request; resource: designated licensed physicians; purpose: the diagnostic licensing system; condition: none | decision: deny; subject: patient; action: request; resource: licensed medical professionals; purpose: the diagnostic licensing system; condition: none},collected_train
355,An LHCP or patient or representative can modify and save his or her message displaying filter  or view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,1,{decision: allow; subject: lhcp; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: patient; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: representative; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: lhcp; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: patient; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: representative; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: message inbox; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: message inbox; purpose: none; condition: none | decision: allow; subject: representative; action: view; resource: message inbox; purpose: none; condition: none},acre
357,It cannot approve projects that it has re-submitted.,1,{decision: deny; subject: it; action: approve; resource: projects that it has re-submitted or re-submitted; purpose: none; condition: none},collected_train
358,An authenticated session ends when the user logs out or closes the iTrust application.,0,{decision: allow; subject: authenticated session; action: end; resource: itrust application; condition: none; purpose: none},na
359,"The HCP must provide instructions, or else they cannot add the prescription.",1,{decision: allow; subject: hcp; action: provide; resource: instruction; purpose: none; condition: none | decision: deny; subject: hcp; action: add; resource: prescription; purpose: none; condition: none},t2p
360,"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",1,{decision: allow; subject: clerk; action: add; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: add; resource: postcode; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: name; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: date of birth; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: address; purpose: none; condition: none | decision: allow; subject: clerk; action: change; resource: postcode; purpose: none; condition: none},collected
361,"The admin must specify a specialty for a new LHCP (general physician, heart surgeon, OB-GYN, pediatrician, surgeon) and for a new LT ( blood, tissue, or general).",1,{decision: allow; subject: admin; action: specify; resource: specialty for a new lhcp; purpose: none; condition: none | decision: allow; subject: admin; action: specify; resource: specialty for a new lt; purpose: none; condition: none},acre
362,"The patient or personal representative can see patient personal health information, immunizations, and office visit information for their own records and the records for whom the user is a personal representative.",1,{decision: allow; subject: patient; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: office visit information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: office visit information; purpose: none; condition: none},t2p
363,The patient is then able to write a textual description.,1,{decision: allow; subject: patient; action: write; resource: textual description; purpose: none; condition: none},t2p
364,"The sending HCP must select a receiving HCP by either entering the HCP's MID and confirming the selection, or by searching for the HCP by name.",1,{decision: allow; subject: hcp; action: select; resource: hcp; purpose: none; condition: none},acre
365,"To avoid competing with his brother , Jui - ting opened up his store over ten kilometers north in Mailiao Township .",0,{decision: allow; subject: jui; action: open; resource: store; condition: none; purpose: to avoid competing with his brother},na
366,"System presents a listing of prescription drug-related adverse events for the time period that do not have a status of ""removed"", sorted by NDC.",1,{decision: allow; subject: system; action: present; resource: listing of prescription drug-related adverse events; purpose: none; condition: none},t2p
367,"Admin have read and set the bonuses of ordinary employees, but not those of other managers via the media.",1,{decision: allow; subject: admin; action: read; resource: bonuses of ordinary employees; condition: none; purpose: none | decision: allow; subject: admin; action: set; resource: bonuses of ordinary employees; condition: none; purpose: none | decision: deny; subject: admin; action: read; resource: bonuses of other managers; condition: none; purpose: none | decision: deny; subject: admin; action: set; resource: bonuses of other managers; condition: none; purpose: none},collected_train
368,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.",1,{decision: allow; subject: pharmacist; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacist; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing rep; action: use; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: collect; resource: e-mail address; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service rep; action: use; resource: e-mail address; purpose: none; condition: none},collected
369,And I think if you were representing him you would n't be saying it either /.,0,{decision: deny; subject: you; action: say; resource: it; condition: if you were representing him either; purpose: none},na
370,The system validates the entered name and password and logs the actor into the system.,0,{decision: allow; subject: system; action: validate; resource: entered name; condition: none; purpose: none | decision: allow; subject: system; action: log; resource: entered password; condition: none; purpose: none},na
371,(Deprication warnings indicate that certain language constructs may no longer be supported in next versions of the language.),0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none},na
372,HCP cannot print or edit demographic information if the patient's security rating or password is approved in accordance with standard format 6.1.,1,"{decision: deny; subject: hcp; action: print; resource: demographic information; purpose: none; condition: ""patients security rating or password is approved in accordance with standard format 6.1"" | decision: deny; subject: hcp; action: edit; resource: demographic information; purpose: none; condition: ""patients security rating or password is approved in accordance with standard format 6.1""}",collected_train
373,"The State Department says Arafat has agreed to send his senior peace negotiator , Saab Erekat to Washington to meet with Secretary of State Albright before the end of the week .",0,{decision: allow; subject: arafat; action: send; resource: senior peace negotiator saab ereka; condition: before the end of the week; purpose: meet with secretary of state albright},na
374,Supervisor can not  execute the write a check use case.,1,{decision: deny; subject: supervisor; action: execute; resource: write a check use case; purpose: none; condition: none},collected
375,"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.  The system records the student’s grade for the course offering.",1,{decision: allow; subject: professor; action: enter; resource: grade; purpose: none; condition: none | decision: allow; subject: system; action: record; resource: grade; purpose: none; condition: none},ibm
376,"Similarly a link of ""Older Activities"" shall be further displayed and so on.",0,{decision: allow; subject: none; action: display; resource: link of “older activities”; purpose: none; condition: none},na
377,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,1,{decision: allow; subject: hcp; action: authenticate; resource: hcp; condition: none; purpose: none},acre
378,Patient MID should be the number assigned when the patient is added to the system and cannot be edited if the patient is not present.,1,{decision: deny; subject: none; action: edit; resource: patient mid; purpose: none; condition: patient is not present | decision: allow; subject: none; action: assign; resource: patient mid; purpose: none; condition: patient is added},collected_train
379,"If the publisher allows electronic versions, the maintainer should send or upload the proceedings, for further preparation by the publisher.",1,{decision: allow; subject: maintainer; action: send; resource: proceeding; purpose: further preparation by the publisher; condition: publisher allows electronic versions | decision: allow; subject: maintainer; action: upload; resource: proceeding; purpose: further preparation by the publisher; condition: publisher allows electronic versions},cyber
380,In an electronic system this overview must be supplied by some form of logging of accesses and access attempts.,0,{decision: allow; subject: none; action: supply; resource: overview; condition: none; purpose: none},na
381,They will enter the atmosphere on opposite sides of the planet in January and then deploy parachutes and air bags to cushion their arrival on the rust - colored surface .,0,{decision: allow; subject: they; action: enter; resource: atmosphere; condition: none; purpose: none | decision: allow; subject: they; action: deploy; resource: parachutes; condition: none; purpose: cushion their arrival on the rust - colored surface | decision: allow; subject: they; action: deploy; resource: air bags; condition: none; purpose: cushion their arrival on the rust - colored surface},na
382," ""Writing to Resource F is prohibited for unauthorized subjects for any purpose.""",1,{decision: allow; subject: unauthorized subjects; action: write; resource: f; condition: none; purpose: any},collected_train
383,To complete the registration process the applicant must provide a valid email address.,1,{decision: allow; subject: applicant; action: provide; resource: email address; condition: none; purpose: complete the registration process},collected_train
384,This use case allows a Student to register for course offerings in the current semester.,1,{decision: allow; subject: student; action: register; resource: course offering; purpose: none; condition: none},ibm
386,"The sending HCP then chooses to save the edits, cancel the edits, or re-enter the data .",1,{decision: allow; subject: sending hcp; action: save; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: reenter; resource: data; purpose: none; condition: none},acre
387,An LHCP views a list of his upcoming appointments.,1,{decision: allow; subject: lhcp; action: view; resource: upcoming appointment; purpose: none; condition: none},t2p
389,The administrator can delete the interaction between the two drugs.,1,{decision: allow; subject: administrator; action: delete; resource: interaction; purpose: none; condition: none},t2p
390,"An administrator chooses to maintain the standards list for immunizations , diagnoses , allowable drugs , or allowable physical services .",1,{decision: allow; subject: administrator; action: maintain; resource: list for immunizations; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for diagnoses; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for drugs; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for physical services; purpose: none; condition: none},acre
391,The patient can view contact information of a selected LHCP shown in the expired prescription list.,1,{decision: allow; subject: patient; action: view; resource: contact information; purpose: none; condition: none},t2p
392,"Typically, the review process ends by organizing a Program Committee meeting, prepared by the PCC, where papers are discussed and accepted or rejected for presentation at the conference.",0,{decision: allow; subject: none; action: organize; resource: program committee meeting; condition: none; purpose: none | decision: allow; subject: none; action: prepare; resource: papers; condition: none; purpose: none},na
393," ""No one is permitted to access confidential documents without proper authorization.""",1,{decision: allow; subject: none; action: access; resource: confidential documents; condition: none; purpose: none},collected_train
394,"The input data, a timestamp, and the fact that the status was reported by ""case manager"" and their MID are saved.",1,{decision: allow; subject: none; action: save; resource: input data; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: timestamp; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: fact; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: mid; purpose: none; condition: none},acre
395,An HCP may document an office visit.,1,{decision: allow; subject: hcp; action: document; resource: office visit; purpose: none; condition: none},t2p
396,"If the subject is a student, then do not permit that subject to assign grades.",1,{decision: deny; subject: subject; action: assign; resource: grade; purpose: none; condition: subject is a student},collected
397,"The LHCP views a list of requests he or she has made for reports, with the status and pertinent information about the requests.",1,{decision: allow; subject: lhcp; action: view; resource: list of requests; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: status; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: information; purpose: none; condition: none},acre
398,The HCP can select a medication from a pull down list and add it to the list of medications the patient is allergic to.,1,{decision: allow; subject: hcp; action: select; resource: medication; purpose: none; condition: none | decision: allow; subject: hcp; action: add; resource: medication; purpose: none; condition: none},acre
399,"This step is seen as setting the stage for the eventual opening of the full "" three links "" - direct mail , commerce , and transport between Taiwan proper and the PRC - and for Taiwan 's entry into the World Trade Organization .",0,"{decision: allow; subject: none; action: set; resource: step; condition: none; purpose: for the eventual opening of the full "" three links "" - direct mail commerce and transport between taiwan proper and the prc - and for taiwan \\s entry into the world trade organization}",na
400,About CPT)  and (2) up to 30 alpha characters giving the name  of the immunization.,0,{decision: allow; subject: none; action: give; resource: name of the immunization; condition: none; purpose: none},na
401,HCPs can return to an office visit.,1,{decision: allow; subject: hcps; action: return; resource: office visit; purpose: none; condition: none},t2p
403,"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",1,{decision: allow; subject: sending hcp; action: cancel; resource: referral; purpose: none; condition: none},acre
404,The user can select a prescription from the calendar to read the prescription's details.,1,{decision: allow; subject: user; action: select; resource: prescription; purpose: read the prescription’s details; condition: none},t2p
405,An LHCP views the number of submitted weight data monitoring reports of his patients for the current date.,1,{decision: allow; subject: lhcp; action: view; resource: number of submitted weight data monitoring reports; purpose: none; condition: none},t2p
406,"(If a doctor or personal representative has not completed a satisfaction survey prior to an initial visit), the patient may not re-participate in the survey for an office visit (if another survey has already been conducted, the patient or personal health officer will not lose the ability to conduct the survey or view the survey he or she administers).",1,{decision: deny; subject: patient; action: re-participate; resource: survey; purpose: office visit; condition: doctor or personal representative has not completed a satisfaction survey prior to an initial visit | decision: deny; subject: patient; action: re-participate; resource: survey; purpose: office visit; condition: doctor or personal representative has not completed a satisfaction survey prior to an initial visit},collected_train
407,It 's like this ; the lawyers for the two sides have to look to see how the person is .,0,{decision: allow; subject: lawyers for the two sides; action: look; resource: person; condition: none; purpose: to see how the person is},na
408,CyberChair generates a paper distribution proposal for the PCC.,1,{decision: allow; subject: cyberchair; action: generate; resource: paper distribution proposal; purpose: none; condition: none},cyber
409,The user can select an appointment from the calendar to read the appointment's details.,1,{decision: allow; subject: user; action: select; resource: appointment; purpose: read the appointments details; condition: none},t2p
410,"Yes , because there have been a number of calls in the American Congress , for example , to introduce economic sanctions against Russia for this .",0,{decision: allow; subject: none; action: introduce; resource: economic sanctions; condition: none; purpose: for this},na
411,The information provided is invalid.,0,{decision: allow; subject: none; action: provide; resource: information; condition: none; purpose: none},na
